Barcode	Read_Count	Percentage_of_Reads	Taxon_ID	Taxon_Path	Taxon_Rank	Species	Type of pest	Pest Name	UK	Likelihood (unmitigated)	Impact (unmitigated)	Risk Rating (unmitigated)	Regulation	Likelihood (mitigated)	Impact (mitigated)	Risk Rating (mitigated)	Scenario for Risk Register	Regulated	Natural Spread
03	50	0.14	48100	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria sect. Porri,Alternaria solani	species	Alternaria solani													
03	41	0.11	167740	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria sect. Alternaria,Alternaria gaisen	species	Alternaria gaisen	Fungus	Alternaria gaisen	Absent	3.0	3.0	9.0		3.0	3.0	9.0	Pest is introduced	No	No
03	35	0.10	230439	root,cellular organisms,Eukaryota,Sar,Stramenopiles,Oomycota,Peronosporales,Peronosporaceae,Peronospora,Peronospora tabacina	species	Peronospora tabacina													
03	29	0.08	86259	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Venturiales,Venturiaceae,Venturia,Venturia nashicola	species	Venturia nashicola	Fungus	Venturia nashicola	Absent	3.0	3.0	9.0	Regulated quarantine pest (Northern Ireland)	1.0	3.0	3.0	Pest is introduced	Yes	No
03	24	0.07	1047171	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Zymoseptoria,Zymoseptoria tritici	species	Zymoseptoria tritici													
03	12	0.03	331382	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Pucciniomycotina,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,Puccinia horiana	species	Puccinia horiana	Fungus	Puccinia horiana	Present (Limited)	3.0	2.0	18.0	Regulated non quarantine pest	2.0	2.0	12.0	Pest spreads to maximum extent	No	No
03	12	0.03	914237	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Leotiomycetes,Helotiales,Ploettnerulaceae,Rhynchosporium,Rhynchosporium commune	species	Rhynchosporium commune													
03	12	0.03	5180	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Leotiomycetes,Helotiales,Sclerotiniaceae,Sclerotinia,Sclerotinia sclerotiorum	species	Sclerotinia sclerotiorum	Fungus	Sclerotinia sclerotiorum	Present (Widespread)									No	No
03	12	0.03	27334	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium,Penicillium expansum	species	Penicillium expansum													
03	10	0.03	4781	root,cellular organisms,Eukaryota,Sar,Stramenopiles,Oomycota,Peronosporales,Peronosporaceae,Plasmopara,Plasmopara halstedii	species	Plasmopara halstedii	Oomycete	Plasmopara halstedii	Absent	2.0	3.0	6.0	Regulated non quarantine pest	2.0	3.0	6.0	Pest is introduced	No	No
03	9	0.02	27357	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum acutatum species complex,Colletotrichum acutatum	species	Colletotrichum acutatum	Fungus	Colletotrichum acutatum	Present (Widespread)	3.0	4.0	60.0	Regulated non quarantine pest	2.0	4.0	40.0	Pest spreads to maximum extent	No	No
03	8	0.02	119933	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Stemphylium,Stemphylium vesicarium	species	Stemphylium vesicarium	Fungus	Stemphylium vesicarium	Present (Widespread)	3.0	3.0	36.0		3.0	3.0	36.0	Pest spreads to maximum extent	No	No
03	4	0.01	255361	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Leotiomycetes,Helotiales,Sclerotiniaceae,Monilinia,Monilinia polystroma	species	Monilinia polystroma	Fungus	Monilinia polystroma	Absent	4.0	2.0	32.0		4.0	2.0	32.0	Pest is introduced	No	No
03	4	0.01	82101	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Pucciniomycotina,Pucciniomycetes,Pucciniales,Melampsoraceae,Melampsora,Melampsora medusae	species	Melampsora medusae	Fungus	Melampsora medusae	Absent	4.0	3.0	36.0	Regulated quarantine pest	2.0	3.0	18.0	Pest is introduced	Yes	No
03	4	0.01	40997	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Myriangiales,Elsinoaceae,Elsinoe,Elsinoe fawcettii	species	Elsinoe fawcettii	Fungus	Elsinoe fawcettii	Absent	0.0	0.0	1.0	Regulated quarantine pest (Northern Ireland)	0.0	0.0	1.0	Pest is introduced	Yes	No
03	4	0.01	111012	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Lecanosticta,Lecanosticta acicola	species	Lecanosticta acicola	Fungus	Lecanosticta acicola	Absent	4.0	3.0	60.0	Regulated quarantine pest (Great Britain.) Northern Ireland: Regulated non quarantine pest	3.0	3.0	45.0	Pest is introduced	Yes	No
03	3	0.01	40296	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium,Penicillium italicum	species	Penicillium italicum													
03	3	0.01	36651	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium,Penicillium digitatum	species	Penicillium digitatum													
03	3	0.01	5499	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Fulvia,Fulvia fulva	species	Fulvia fulva													
03	3	0.01	1077377	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Leptosphaeriaceae,Plenodomus,Plenodomus tracheiphilus	species	Plenodomus tracheiphilus	Fungus	Plenodomus tracheiphilus	Absent	0.0	0.0	1.0	Regulated non quarantine pest (Northern Ireland)	0.0	0.0	1.0	Pest is introduced	No	No
03	3	0.01	5454	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Didymellaceae,Ascochyta,Ascochyta rabiei	species	Ascochyta rabiei													
03	3	0.01	5811	root,cellular organisms,Eukaryota,Sar,Alveolata,Apicomplexa,Conoidasida,Coccidia,Eucoccidiorida,Eimeriorina,Sarcocystidae,Toxoplasma,Toxoplasma gondii	species	Toxoplasma gondii													
03	3	0.01	332034	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Dothistroma,Dothistroma pini	species	Dothistroma pini	Fungus	Dothistroma pini	Absent	3.0	3.0	45.0	Regulated quarantine pest (Great Britain) Northern Ireland: Regulated non quarantine pest	2.0	3.0	30.0	Pest is introduced	Yes	No
03	3	0.01	45151	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Pyrenophora,Pyrenophora tritici-repentis	species	Pyrenophora tritici-repentis													
03	2	0.01	218668	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Sordariomycetidae,Diaporthales,Gnomoniaceae,Ophiognomonia,Ophiognomonia clavigignenti-juglandacearum	species	Ophiognomonia clavigignenti-juglandacearum	Fungus	Ophiognomonia clavigignenti-juglandacearum	Absent	3.0	5.0	15.0	Juglans is a high risk host; temporarily prohibited	1.0	5.0	5.0	Pest is introduced	No	No
03	2	0.01	5128	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium sambucinum species complex,Fusarium sambucinum	species	Fusarium sambucinum													
03	2	0.01	5503	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Curvularia,Curvularia lunata	species	Curvularia lunata													
03	2	0.01	40998	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Myriangiales,Elsinoaceae,Elsinoe,Elsinoe australis	species	Elsinoe australis	Fungus	Elsinoe australis	Absent	0.0	0.0	1.0	Regulated quarantine pest (Northern Ireland)	0.0	0.0	1.0	Pest is introduced	Yes	No
03	2	0.01	13684	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Phaeosphaeriaceae,Parastagonospora,Parastagonospora nodorum	species	Parastagonospora nodorum													
03	2	0.01	858812	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora pini-densiflorae	species	Pseudocercospora pini-densiflorae	Fungus	Pseudocercospora pini-densiflorae	Absent	3.0	3.0	45.0	Regulated quarantine pest	2.0	3.0	30.0	Pest is introduced	Yes	No
03	2	0.01	40559	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis cinerea	species	Botrytis cinerea	Fungus	Botrytis cinerea	Present (Widespread)									No	No
03	2	0.01	27358	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum coccodes	species	Colletotrichum coccodes													
03	2	0.01	1200837	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Didymellaceae,Stagonosporopsis,Stagonosporopsis chrysanthemi	species	Stagonosporopsis chrysanthemi	Fungus	Stagonosporopsis chrysanthemi	Present (Limited)	4.0	4.0	48.0		2.0	4.0	24.0	Pest spreads to maximum extent	No	No
03	2	0.01	232082	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium solani species complex,Fusarium virguliforme	species	Fusarium virguliforme													
03	1	0.00	64363	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Dothistroma,Dothistroma septosporum	species	Dothistroma septosporum	Fungus	Dothistroma septosporum	Present (Limited)	3.0	5.0	75.0	Regulated non quarantine pest	2.0	5.0	50.0	Pest spreads to maximum extent	No	No
03	1	0.00	948311	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex,Fusarium proliferatum	species	Fusarium proliferatum													
03	1	0.00	13164	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Mandibulata,Pancrustacea,Hexapoda,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Sternorrhyncha,Aphidomorpha,Aphidoidea,Aphididae,Aphidinae,Macrosiphini,Myzus,Myzus persicae	species	Myzus persicae													
03	1	0.00	690259	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum gloeosporioides species complex,Colletotrichum siamense	species	Colletotrichum siamense	Fungus	Colletotrichum siamense	Unknown									No	No
03	1	0.00	135779	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora zeae-maydis	species	Cercospora zeae-maydis													
03	1	0.00	29003	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora nicotianae	species	Cercospora nicotianae													
03	1	0.00	236234	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetes incertae sedis,Botryosphaeriales,Botryosphaeriaceae,Diplodia,Diplodia corticola	species	Diplodia corticola	Fungus	Diplodia corticola	Absent	2.0	2.0	20.0		2.0	2.0	20.0	Pest is introduced	No	No
03	1	0.00	208348	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Pucciniomycotina,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,Puccinia triticina	species	Puccinia triticina													
03	1	0.00	2021124	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetes incertae sedis,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria,Botryosphaeria kuwatsukai	species	Botryosphaeria kuwatsukai	Fungus	Botryosphaeria kuwatsukai	Absent	3.0	3.0	36.0	Regulated quarantine pest	1.0	3.0	12.0	Pest is introduced	Yes	No
03	1	0.00	13131	root,cellular organisms,Eukaryota,Opisthokonta,Metazoa,Eumetazoa,Bilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Mandibulata,Pancrustacea,Hexapoda,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Sternorrhyncha,Aphidomorpha,Aphidoidea,Aphididae,Aphidinae,Macrosiphini,Macrosiphum,Macrosiphum euphorbiae	species	Macrosiphum euphorbiae													
03	1	0.00	121618	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetes incertae sedis,Botryosphaeriales,Botryosphaeriaceae,Neofusicoccum,Neofusicoccum laricinum	species	Neofusicoccum laricinum													
03	1	0.00	5664	root,cellular organisms,Eukaryota,Discoba,Euglenozoa,Kinetoplastea,Metakinetoplastina,Trypanosomatida,Trypanosomatidae,Leishmaniinae,Leishmania,Leishmania,Leishmania major species complex,Leishmania major	species	Leishmania major													
03	1	0.00	101162	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Bipolaris,Bipolaris oryzae	species	Bipolaris oryzae													
03	1	0.00	53983	root,cellular organisms,Eukaryota,Sar,Stramenopiles,Oomycota,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora cambivora	species	Phytophthora cambivora	Fungus	Phytophthora cambivora	Present (Widespread)									No	No
03	1	0.00	1585795	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum destructivum species complex,Colletotrichum lentis	species	Colletotrichum lentis													
03	1	0.00	479893	root,cellular organisms,Bacteria,Terrabacteria group,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus Phytoplasma,16SrIII (X-disease group),Candidatus Phytoplasma pruni	species	Candidatus Phytoplasma pruni													
03	1	0.00	5059	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati,Aspergillus flavus	species	Aspergillus flavus													
03	1	0.00	1592451	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Dothideales,Saccotheciaceae,Aureobasidium,Aureobasidium zeae	species	Aureobasidium zeae													
03	1	0.00	310453	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetes incertae sedis,Botryosphaeriales,Botryosphaeriaceae,Neofusicoccum,Neofusicoccum parvum	species	Neofusicoccum parvum	Fungus	Neofusicoccum parvum	Present (Unknown Distribution)	3.0	2.0	30.0		3.0	2.0	30.0	Pest spreads to maximum extent	No	No
03	1	0.00	43049	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,Tilletiales,Tilletiaceae,Tilletia,Tilletia indica	species	Tilletia indica	Fungus	Tilletia indica	Absent	4.0	4.0	80.0	Regulated quarantine pest	2.0	4.0	40.0	Pest is introduced	Yes	No
03	1	0.00	45133	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetes incertae sedis,Botryosphaeriales,Botryosphaeriaceae,Lasiodiplodia,Lasiodiplodia theobromae	species	Lasiodiplodia theobromae													
03	1	0.00	5017	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Bipolaris,Bipolaris zeicola	species	Bipolaris zeicola													
03	1	0.00	5207	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans species complex,Cryptococcus neoformans	species	Cryptococcus neoformans													
03	1	0.00	942053	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetes incertae sedis,Russulales,Bondarzewiaceae,Heterobasidion,Heterobasidion occidentale	species	Heterobasidion occidentale	Fungus	Heterobasidion occidentale	Absent	2.0	3.0	30.0	Conifer prohibitions. Provisional quarantine pest (Great Britain).	1.0	3.0	15.0	Pest is introduced	No	No
03	1	0.00	27335	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Sordariomycetes,Hypocreomycetidae,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium albo-atrum	species	Verticillium albo-atrum	Fungus	Verticillium albo-atrum (sensu stricto)	Present (Widespread)	4.0	3.0	60.0	Regulated non quarantine pest	2.0	3.0	30.0	Pest spreads to maximum extent	No	No
03	1	0.00	132184	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora apii	species	Cercospora apii													
03	1	0.00	4786	root,cellular organisms,Eukaryota,Sar,Stramenopiles,Oomycota,Peronosporales,Peronosporaceae,Phytophthora,Phytophthora cryptogea	species	Phytophthora cryptogea	Fungus	Phytophthora cryptogea	Present (Widespread)									No	No
03	1	0.00	53485	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Pyrenophora,Pyrenophora teres	species	Pyrenophora teres													
03	1	0.00	685502	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,dothideomyceta,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora fuligena	species	Pseudocercospora fuligena													
04	13839	88.84	79252	root,cellular organisms,Eukaryota,Opisthokonta,Fungi,Dikarya,Ascomycota,saccharomyceta,Pezizomycotina,leotiomyceta,sordariomyceta,Leotiomycetes,Erysiphales,Erysiphaceae,Podosphaera,Podosphaera aphanis	species	Podosphaera aphanis	Fungus	Podosphaera aphanis	Present (Widespread)									No	No
04	1197	7.68	162140	root,cellular organisms,Eukaryota,Sar,Stramenopiles,Oomycota,Peronosporales,Peronosporaceae,Plasmopara,Plasmopara obducens	species	Plasmopara obducens	Oomycete	Plasmopara obducens	Present (Unknown Distribution)	3.0	4.0	12.0		3.0	4.0	12.0	Pest spreads to maximum extent	No	No
04	239	1.53	230439	root,cellular organisms,Eukaryota,Sar,Stramenopiles,Oomycota,Peronosporales,Peronosporaceae,Peronospora,Peronospora tabacina	species	Peronospora tabacina													
